_id,WeekNumber,WeekPace,AcademicSupport,ConceptMastering,instructorEngagement,instructorClarity,instructorknowledgeable,submittedDate,universityId,class._id
ru3wHRgLAKcRZjG33,4,5,5,4,4.5,NA,NA,2016-08-18T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
rwLgTSuRKGi5QZxGw,1,4,5,4,5,NA,NA,2016-08-02T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
sdJFzWYnKr7CGdsAA,3,3,4,4,3,NA,NA,2016-08-15T04:00:00.000Z,jT8CCfJRYuiukiEMB,furi8xq9ZJuyN9SEt
t7TiAWtH2ok5oC36j,4,4,4,3,4,NA,NA,2016-08-15T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
tCJoDNeoP6sCkJRvR,2,4,5,4,4.5,NA,NA,2016-07-25T04:00:00.000Z,jT8CCfJRYuiukiEMB,yZKY9TjWzZinQfSZv
tPnPAgcFpBGHniMSj,3,3,5,4,5,NA,NA,2016-08-16T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
uHqkbTdFETahcBtCH,1,5,5,5,5,NA,NA,2016-08-15T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
ucoSQWoBrr2xFxiEc,4,5,3,1,4.5,NA,NA,2016-08-09T05:00:00.000Z,re2oaamkCc36r9Wqt,dnTh2WcoDZTND3MS8
vSFQELwJ44g5Md4R9,4,3,2,1,4,NA,NA,2016-08-15T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
vduESZEhZfrLaco3r,3,5,4,2,5,NA,NA,2016-08-12T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
w3igogLwqnscQWaeG,4,5,4,1,4,NA,NA,2016-08-12T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
w3qh5StM5JfDAYJKy,2,4,4,4,5,NA,NA,2016-08-15T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
waYjSuoqZc2rW2sip,4,5,1,1,3,NA,NA,2016-07-31T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
whPgGBmNZuwPQYegm,3,5,1,1,3,NA,NA,2016-08-12T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
xXEyZWWS7TDvFSCNd,4,4,4,3,4.5,NA,NA,2016-07-17T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
xcsY8HFFd94c8j8QC,16,4,4,4,4,NA,NA,2016-08-16T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
y7AcTCfe3bzMG9b4K,3,3,5,4,5,NA,NA,2016-08-01T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
yccgJhP9jLycRjC4n,2,3,5,5,5,NA,NA,2016-08-13T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
zDFGJcos8vYP5Peoy,4,4,5,4,5,NA,NA,2016-08-09T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
zi8zExLbNtFDsWQL3,2,5,2,2,3.5,NA,NA,2016-07-12T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
zn8LvhGMgbP4pxLPf,3,3,4,1,3.5,NA,NA,2016-08-06T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
zsSSdEsmdgekippQ7,5,3,5,3,5,NA,NA,2016-08-14T04:00:00.000Z,jT8CCfJRYuiukiEMB,37sE5FSgDmscwkGKF
ztKk8eZBfJ7osZcyq,5,4,4,2,5,NA,NA,2016-08-06T05:00:00.000Z,re2oaamkCc36r9Wqt,dnTh2WcoDZTND3MS8
CGWMrBzD8FJxpZzw6,17,3,5,5,5,NA,NA,2016-08-21T04:00:00.000Z,jT8CCfJRYuiukiEMB,4PetDBAff6fnGMeTe
FQPXsLWe5BEaxmfpk,5,4,4,3,4.5,NA,NA,2016-08-22T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
s3mhCZtAjJBmGSh59,5,1,5,5,3,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
6TyooCuejKcReQpF8,5,3,3,1,1,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
XqtH5Tzr2EgARBaXF,4,4,4,2,4,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
CJW8w3JEGiz8jCYFW,4,5,4,2,4.5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
Nrw7tTXob5fgbrutf,4,4,5,4,4.5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
GmtLgJ7egXQLxi3Fh,4,4,4,2,4,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
Hu3uBwWRt2yMe5Txn,4,5,2,2,5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
eYocCTAWD4SFrDJXN,4,4,5,3,4,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
MYSqR4TDwyGHBLi4b,3,3,5,4,5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
rJajhKoyYCTqqJigT,4,5,5,4,3.5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
hkxxQfTXKhxpRHXER,4,4,5,3,5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
36EsgqK4p5tnTf4q6,3,3,4,3,4.5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
sFGHhwxoc4S6PADCA,3,4,1,3,3.5,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
QCwvDd9vHz7ArhA8i,3,3,4,5,4,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
PgAM4CqCTmX6DAC7A,5,3,4,5,4,NA,NA,2016-08-22T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
fdhsua4pBbnupagbr,6,5,5,4,4.5,NA,NA,2016-08-23T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
6ahNGgppcWNXd2AAm,5,4,2,1,3.5,NA,NA,2016-08-23T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
kAMEACxGJm5ny3Aax,4,5,5,5,5,5,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
KmEXxaC6ibam5b4Ku,5,5,3,3,4,4,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
LaZpbjLi6j5KFA9wS,5,3,4,2,5,4,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
kfAQtT9zjypDN7tic,3,3,4,3,4,4,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
LMQfmDbaTTN6CNCvc,4,3,4,3,4,4,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
JL4cWCLcEgoNkSc9h,5,5,4,4,5,5,5,2016-08-25T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
i5b7cK7dqEhJpNNwL,5,3,3,2,4,4,4,2017-02-27T06:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
wzAmm8gxu9cgoKnAT,6,4,5,4,3,2,4,2016-08-27T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
j7N4uHrFCmJDwaQkK,6,4,4,3,4,4,5,2016-08-27T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
7sxZx39s3cnShrbCt,9,3,1,3,3,3,4,2016-08-28T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
Q4gTM8efG9zC9DBaZ,5,3,4,2,5,5,5,2016-08-28T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
vfouQJMjy2sj8fpR3,5,3,5,3,4,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
oLmaaiqZuFdqCEr3N,5,4,3,2,4,4,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
rKmRBuja5ywoCWgvf,5,3,5,5,5,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
XbfvySbJ7u8LkCkwb,5,3,4,3,5,4,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
3TwJKzEneG9MvCfAN,4,5,5,3,5,4,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
7PHny2ASXfdnF9kcQ,5,3,5,5,5,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
hSBFHKk36Mkr7FYBG,5,3,4,4,5,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
KqypL3Ak2qhhZZPkR,3,3,4,4,4,4,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
tj2bimTHu2M3nJftR,5,4,5,3,5,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
nyFMLwZho5sxXwxGA,10,3,4,5,5,5,5,2016-08-29T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
X4AnTKcNN2dqgv7LL,10,3,4,3,4,4,4,2016-08-29T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
r8W7vEpbJHi2niSYo,10,2,5,4,4,4,4,2016-08-29T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
7Qj8PTuc2WLwM9DDu,10,4,5,4,5,5,5,2016-08-29T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
sQoEbWXfGaFX8ijvm,10,4,4,2,4,3,4,2016-08-29T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
aptJpG9hXbhQNn6cc,7,3,4,3,4,3,5,2016-08-29T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
CaSQW9m9EbDPWJjXr,7,3,5,4,5,5,5,2016-08-30T05:00:00.000Z,re2oaamkCc36r9Wqt,qZF4ZauZdCw4cPjRg
zuxX8GC8jSq4tgNMc,7,4,5,3,5,5,5,2016-08-30T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
GxLrpoHkzd9YkXJzx,7,3,5,4,5,5,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
R9TpB6xFFwi3w929u,7,3,5,3,4,5,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
2QbsSdhrgQiKqqENS,6,3,5,5,5,5,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
2uadcpcwDQnKWqw7E,7,5,4,3,4,4,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
wXjHhJWaXypDLyrmp,4,4,3,3,4,3,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
PF9QkGYd24sGZaRih,4,3,4,2,5,5,5,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
mv9B5uFW44tpe8o8i,4,3,4,2,4,5,4,2016-08-30T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
jsuST9PD5kuLhRHcW,2,4,5,2,3,5,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
c4vvwmuthbCB2YAMA,4,4,5,2,5,5,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
oFYHeZFArRCPPxvwY,4,4,4,2,4,3,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
rapB3Zgdncmy7y8Na,Cl,4,4,3,4,4,4,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
XTE3yg23fPEak2HwS,3,3,4,4,4,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
rj3jGqLyq7QYwPpp7,4,3,5,5,4,5,4,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
BnmJWEdxsCZuyN3ci,4,3,4,4,5,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
ZYTm53KL2wGbMaB5a,4,4,5,1,5,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
DNPAocHXzqpe7MN4W,4,4,3,3,4,3,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
fkDxDxLsEt2z8kytB,4,4,4,3,5,5,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
ndmw5SpTQ6PYN4PC6,4,4,3,3,5,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
XHMGdi34tdu5Ac8f2,4,4,5,3,4,5,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
S5qxbJKGrCB9AybAW,4,4,4,4,4,4,4,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
GJkDBYhXXixvqnQg9,4,4,5,3,4,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
8vZSzhbouY5unJE9d,4,4,3,2,3,3,2,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
iersNGsuFMxWRZr8T,4,3,5,2,5,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
udcnM3kDZ8mQoCZaC,6,5,1,1,1,1,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
Jm3jpPmFvjFTR2JiZ,6,3,4,5,5,4,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
S5iKJR5moDfnPheat,10,5,5,5,5,5,5,2016-08-30T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
CApMp8uCu7AvyHZPo,10,3,3,3,3,4,5,2016-08-30T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
S7uGugTTA7gsGJp7Q,Cl,4,4,3,4,4,5,2016-08-30T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
uLr5d4bzc2BwJcbpJ,10,3,4,4,5,5,5,2016-08-30T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
NYej83TuuXmAtpYe9,10,3,4,3,4,4,4,2016-08-30T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
4Z28xCEuJ7DaCgPBb,11,3,4,5,5,5,5,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
zRiCJ285sNRT4gxL7,19,3,4,2,5,4,5,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
9sSDmLAC4gyHDXCNi,22,3,5,4,5,5,5,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
yKTqvMjLphZvsiNwM,10,3,5,5,5,4,5,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
PeeEdfTFnsH3pnhu4,4,3,3,3,4,3,3,2016-08-31T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
xSTF9gg9cikpfs2RZ,7,4,3,1,3,3,5,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
MekmKHjtG8NtrB8ZD,21,3,4,3,5,5,4,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,ZmH3Bp7jDH5PDuKqL
guKqaBhcNSnwvCr5X,10,3,5,3,5,5,5,2016-08-31T05:00:00.000Z,re2oaamkCc36r9Wqt,iYzi3cqx2Rjw4s9Ge
2poGFDgjMezY6vdyD,4,4,4,3,4,4,5,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,yc4vhknRxxWRC9K7J
ktWhcY2x33uzSCF6P,5,4,4,4,5,5,5,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,LLLmK9C5CuFDwxRWZ
Y8FG3jifdzCa7yXeY,5,4,5,3,5,4,5,2016-08-31T05:00:00.000Z,re2oaamkCc36r9Wqt,JtaB7J8LMkHNWPB3e
P8aRoCtrZDRMA7unb,6,5,5,3,5,5,5,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
Gu7FHhE8FEvehEPCj,10,3,5,4,5,5,5,2016-08-31T04:00:00.000Z,jT8CCfJRYuiukiEMB,RPHt9cb9tZrqxNJ8e
YTheZYwjCQWaaFuK3,10,3,5,4,5,5,5,2016-08-31T04:00:00.000Z,ggea8dRMH5T7RTjCu,Sqj27d7nx2syeiC7B
Xm5tXX9gg7ZeLsgFX,10,5,3,2,3,4,4,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,yc4vhknRxxWRC9K7J
outmdbZmiSTLseLq8,10,4,5,3,4,4,5,2016-08-31T04:00:00.000Z,rhvWsCs6E9RPWbm8b,YD8c5ikKbnPDzFdrM
pEnEQYSNuYeNQpp9P,10,3,3,3,4,4,5,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,5usxXMEwP4xucmxrW
HKQcDHLYdQHuQnqKJ,10,4,4,2,4,4,4,2016-08-31T07:00:00.000Z,wEYz76ngTMEsrQtm2,LfGDcvpagfFBJnXiQ
