SubmissionID,FeedbackTypeID,UserID,SectionID,ClassWeek,HowWasClassThisWeek,InstructorEngagement,SubmittedDate,NewLearningAchieved,HoursSpentOutsideOfClass,PaceOfClassThisWeek,AcademicSupport,MasteredConceptsCovered,CreatedDate,CreatedBy,UpdatedDate,UpdatedBy,InstructionsClarity,InstructorKnowledge
52,2,69,3,3,4,4,"Apr  2 2017 06:04:09:803AM",4,20,4,4,4,"Apr  2 2017 06:04:09:803AM",trilogy_admin,"Apr  2 2017 06:04:09:803AM",trilogy_admin,4,4
53,2,79,3,3,5,5,"Apr  2 2017 01:41:24:837PM",5,10,4,5,4,"Apr  2 2017 01:41:24:837PM",trilogy_admin,"Apr  2 2017 01:41:24:837PM",trilogy_admin,5,5
54,2,52,2,3,4,4,"Apr  2 2017 06:27:47:043PM",4,10,4,4,4,"Apr  2 2017 06:27:47:043PM",trilogy_admin,"Apr  2 2017 06:27:47:043PM",trilogy_admin,4,4
55,2,117,2,3,4,4,"Apr  2 2017 10:31:56:670PM",4,10,4,4,4,"Apr  2 2017 10:31:56:670PM",trilogy_admin,"Apr  2 2017 10:31:56:670PM",trilogy_admin,4,5
56,2,124,2,3,5,5,"Apr  2 2017 11:04:11:570PM",5,25,4,5,4,"Apr  2 2017 11:04:11:570PM",trilogy_admin,"Apr  2 2017 11:04:11:570PM",trilogy_admin,5,5
57,2,85,3,3,4,5,"Apr  2 2017 11:42:43:040PM",5,20,3,5,4,"Apr  2 2017 11:42:43:040PM",trilogy_admin,"Apr  2 2017 11:42:43:040PM",trilogy_admin,5,5
58,2,121,2,3,4,4,"Apr  3 2017 06:06:31:807AM",5,20,3,5,2,"Apr  3 2017 06:06:31:807AM",trilogy_admin,"Apr  3 2017 06:06:31:807AM",trilogy_admin,5,2
59,2,53,2,3,5,5,"Apr  3 2017 06:51:33:507AM",4,10,5,5,4,"Apr  3 2017 06:51:33:507AM",trilogy_admin,"Apr  3 2017 06:51:33:507AM",trilogy_admin,4,3
60,2,58,2,3,4,5,"Apr  3 2017 12:38:57:623PM",4,30,5,5,4,"Apr  3 2017 12:38:57:623PM",trilogy_admin,"Apr  3 2017 12:38:57:623PM",trilogy_admin,4,5
61,2,119,2,3,5,4,"Apr  3 2017 04:49:53:587PM",5,10,5,5,4,"Apr  3 2017 04:49:53:587PM",trilogy_admin,"Apr  3 2017 04:49:53:587PM",trilogy_admin,5,5
62,2,82,3,3,5,5,"Apr  3 2017 04:57:58:920PM",5,1,5,5,5,"Apr  3 2017 04:57:58:920PM",trilogy_admin,"Apr  3 2017 04:57:58:920PM",trilogy_admin,5,5
63,2,127,2,3,4,5,"Apr  3 2017 05:12:23:243PM",5,15,4,4,3,"Apr  3 2017 05:12:23:243PM",trilogy_admin,"Apr  3 2017 05:12:23:243PM",trilogy_admin,4,5
64,2,57,2,3,4,5,"Apr  3 2017 09:30:14:153PM",1,10,4,5,4,"Apr  3 2017 09:30:14:153PM",trilogy_admin,"Apr  3 2017 09:30:14:153PM",trilogy_admin,5,5
65,2,120,2,3,5,5,"Apr  3 2017 09:51:56:757PM",5,6,5,5,4,"Apr  3 2017 09:51:56:757PM",trilogy_admin,"Apr  3 2017 09:51:56:757PM",trilogy_admin,4,5
66,2,56,2,3,4,3,"Apr  3 2017 09:55:07:530PM",4,40,4,3,3,"Apr  3 2017 09:55:07:530PM",trilogy_admin,"Apr  3 2017 09:55:07:530PM",trilogy_admin,3,4
67,2,130,2,3,5,5,"Apr  3 2017 09:58:04:513PM",5,30,5,5,5,"Apr  3 2017 09:58:04:513PM",trilogy_admin,"Apr  3 2017 09:58:04:513PM",trilogy_admin,5,5
68,2,60,2,3,3,5,"Apr  3 2017 10:06:50:567PM",2,20,2,5,3,"Apr  3 2017 10:06:50:567PM",trilogy_admin,"Apr  3 2017 10:06:50:567PM",trilogy_admin,5,5
69,2,129,2,3,4,4,"Apr  3 2017 10:21:43:183PM",4,20,4,4,3,"Apr  3 2017 10:21:43:183PM",trilogy_admin,"Apr  3 2017 10:21:43:183PM",trilogy_admin,4,4
70,2,55,2,3,5,5,"Apr  3 2017 10:23:23:743PM",5,30,5,5,5,"Apr  3 2017 10:23:23:743PM",trilogy_admin,"Apr  3 2017 10:23:23:743PM",trilogy_admin,5,5
71,2,137,2,3,4,4,"Apr  3 2017 10:28:48:793PM",4,6,4,4,4,"Apr  3 2017 10:28:48:793PM",trilogy_admin,"Apr  3 2017 10:28:48:793PM",trilogy_admin,4,4
72,2,138,2,3,4,3,"Apr  3 2017 10:30:07:543PM",4,15,4,4,3,"Apr  3 2017 10:30:07:543PM",trilogy_admin,"Apr  3 2017 10:30:07:543PM",trilogy_admin,4,4
73,2,126,2,3,4,4,"Apr  3 2017 10:32:13:110PM",2,10,5,5,2,"Apr  3 2017 10:32:13:110PM",trilogy_admin,"Apr  3 2017 10:32:13:110PM",trilogy_admin,4,5
74,2,54,2,3,5,4,"Apr  3 2017 10:34:46:433PM",3,10,4,3,5,"Apr  3 2017 10:34:46:433PM",trilogy_admin,"Apr  3 2017 10:34:46:433PM",trilogy_admin,4,4
75,2,136,2,3,3,4,"Apr  3 2017 11:57:38:610PM",5,10,3,3,3,"Apr  3 2017 11:57:38:610PM",trilogy_admin,"Apr  3 2017 11:57:38:610PM",trilogy_admin,5,5
76,2,64,3,3,5,5,"Apr  4 2017 12:07:03:110AM",5,6,5,5,3,"Apr  4 2017 12:07:03:110AM",trilogy_admin,"Apr  4 2017 12:07:03:110AM",trilogy_admin,5,5
77,2,92,4,3,5,5,"Apr  4 2017 12:58:53:763AM",5,1,5,5,5,"Apr  4 2017 12:58:53:763AM",trilogy_admin,"Apr  4 2017 12:58:53:763AM",trilogy_admin,5,5
78,2,80,3,3,5,5,"Apr  4 2017 01:09:23:327AM",3,10,5,5,5,"Apr  4 2017 01:09:23:327AM",trilogy_admin,"Apr  4 2017 01:09:23:327AM",trilogy_admin,5,5
79,2,86,3,3,3,2,"Apr  4 2017 02:55:43:193PM",3,10,2,3,2,"Apr  4 2017 02:55:43:193PM",trilogy_admin,"Apr  4 2017 02:55:43:193PM",trilogy_admin,3,5
80,2,87,3,3,5,5,"Apr  4 2017 03:58:41:933PM",5,20,4,5,4,"Apr  4 2017 03:58:41:933PM",trilogy_admin,"Apr  4 2017 03:58:41:933PM",trilogy_admin,5,5
81,2,73,3,3,3,5,"Apr  4 2017 04:44:50:503PM",3,2,2,5,1,"Apr  4 2017 04:44:50:503PM",trilogy_admin,"Apr  4 2017 04:44:50:503PM",trilogy_admin,4,4
82,2,74,3,3,2,4,"Apr  4 2017 06:40:43:853PM",3,15,5,2,2,"Apr  4 2017 06:40:43:853PM",trilogy_admin,"Apr  4 2017 06:40:43:853PM",trilogy_admin,4,5
83,2,125,3,3,4,5,"Apr  4 2017 09:08:39:073PM",4,4,4,4,3,"Apr  4 2017 09:08:39:073PM",trilogy_admin,"Apr  4 2017 09:08:39:073PM",trilogy_admin,5,5
84,2,144,3,3,3,2,"Apr  4 2017 09:20:11:767PM",2,15,3,2,1,"Apr  4 2017 09:20:11:767PM",trilogy_admin,"Apr  4 2017 09:20:11:767PM",trilogy_admin,2,3
85,2,84,3,3,4,5,"Apr  4 2017 09:30:47:690PM",5,2,4,5,3,"Apr  4 2017 09:30:47:690PM",trilogy_admin,"Apr  4 2017 09:30:47:690PM",trilogy_admin,5,5
86,2,72,3,3,5,5,"Apr  4 2017 10:13:51:570PM",5,10,4,5,3,"Apr  4 2017 10:13:51:570PM",trilogy_admin,"Apr  4 2017 10:13:51:570PM",trilogy_admin,5,5
87,2,70,3,3,5,5,"Apr  4 2017 10:14:31:580PM",5,10,5,5,5,"Apr  4 2017 10:14:31:580PM",trilogy_admin,"Apr  4 2017 10:14:31:580PM",trilogy_admin,5,5
88,2,66,3,3,3,3,"Apr  4 2017 10:17:46:930PM",2,20,1,3,2,"Apr  4 2017 10:17:46:930PM",trilogy_admin,"Apr  4 2017 10:17:46:930PM",trilogy_admin,3,3
89,2,88,3,3,3,2,"Apr  4 2017 10:19:06:187PM",2,5,1,5,5,"Apr  4 2017 10:19:06:187PM",trilogy_admin,"Apr  4 2017 10:19:06:187PM",trilogy_admin,2,5
90,2,63,3,3,4,4,"Apr  4 2017 10:20:20:157PM",4,15,4,3,3,"Apr  4 2017 10:20:20:157PM",trilogy_admin,"Apr  4 2017 10:20:20:157PM",trilogy_admin,3,4
91,2,81,3,3,3,4,"Apr  4 2017 10:22:49:160PM",5,11,4,4,5,"Apr  4 2017 10:22:49:160PM",trilogy_admin,"Apr  4 2017 10:22:49:160PM",trilogy_admin,3,5
92,2,78,3,3,3,2,"Apr  4 2017 10:30:02:370PM",3,4,4,2,4,"Apr  4 2017 10:30:02:370PM",trilogy_admin,"Apr  4 2017 10:30:02:370PM",trilogy_admin,3,3
93,2,133,3,3,5,5,"Apr  4 2017 10:33:33:240PM",4,5,5,5,3,"Apr  4 2017 10:33:33:240PM",trilogy_admin,"Apr  4 2017 10:33:33:240PM",trilogy_admin,5,5
94,2,122,3,3,5,5,"Apr  4 2017 10:34:13:613PM",5,5,5,5,5,"Apr  4 2017 10:34:13:613PM",trilogy_admin,"Apr  4 2017 10:34:13:613PM",trilogy_admin,5,5
95,2,65,3,3,4,5,"Apr  4 2017 10:36:51:030PM",3,16,3,4,3,"Apr  4 2017 10:36:51:030PM",trilogy_admin,"Apr  4 2017 10:36:51:030PM",trilogy_admin,5,5
96,2,77,3,3,5,5,"Apr  4 2017 10:45:41:080PM",5,20,5,5,5,"Apr  4 2017 10:45:41:080PM",trilogy_admin,"Apr  4 2017 10:45:41:080PM",trilogy_admin,5,5
97,2,75,3,3,5,5,"Apr  4 2017 11:01:38:873PM",5,5,5,5,5,"Apr  4 2017 11:01:38:873PM",trilogy_admin,"Apr  4 2017 11:01:38:873PM",trilogy_admin,5,5
98,2,68,3,3,4,4,"Apr  5 2017 12:15:03:893AM",4,3,3,5,2,"Apr  5 2017 12:15:03:893AM",trilogy_admin,"Apr  5 2017 12:15:03:893AM",trilogy_admin,4,5
100,2,128,2,3,5,5,"Apr  5 2017 09:40:31:847PM",5,5,5,5,5,"Apr  5 2017 09:40:31:847PM",trilogy_admin,"Apr  5 2017 09:40:31:847PM",trilogy_admin,5,5
101,2,121,2,4,4,4,"Apr  9 2017 04:26:41:340AM",4,10,3,4,4,"Apr  9 2017 04:26:41:340AM",trilogy_admin,"Apr  9 2017 04:26:41:340AM",trilogy_admin,3,3
102,2,179,12,2,4,5,"Apr  9 2017 04:44:50:183AM",4,20,4,5,4,"Apr  9 2017 04:44:50:183AM",trilogy_admin,"Apr  9 2017 04:44:50:183AM",trilogy_admin,5,5
103,2,186,12,2,5,5,"Apr  9 2017 04:51:35:830AM",5,5,5,5,4,"Apr  9 2017 04:51:35:830AM",trilogy_admin,"Apr  9 2017 04:51:35:830AM",trilogy_admin,5,5
104,2,325,13,2,5,5,"Apr  9 2017 08:43:00:977AM",5,35,5,5,5,"Apr  9 2017 08:43:00:977AM",trilogy_admin,"Apr  9 2017 08:43:00:977AM",trilogy_admin,5,5
105,2,1012,6,2,5,4,"Apr  9 2017 09:09:22:543AM",5,15,4,5,3,"Apr  9 2017 09:09:22:543AM",trilogy_admin,"Apr  9 2017 09:09:22:543AM",trilogy_admin,4,5
106,2,318,13,2,3,4,"Apr  9 2017 09:19:16:943AM",5,25,3,3,3,"Apr  9 2017 09:19:16:943AM",trilogy_admin,"Apr  9 2017 09:19:16:943AM",trilogy_admin,3,3
107,2,242,9,2,5,4,"Apr  9 2017 10:01:59:073AM",1,1,5,5,5,"Apr  9 2017 10:01:59:073AM",trilogy_admin,"Apr  9 2017 10:01:59:073AM",trilogy_admin,5,5
108,2,844,9,2,5,5,"Apr  9 2017 10:43:55:530AM",3,20,5,5,5,"Apr  9 2017 10:43:55:530AM",trilogy_admin,"Apr  9 2017 10:43:55:530AM",trilogy_admin,5,5
109,2,181,12,2,5,5,"Apr  9 2017 01:06:59:730PM",5,5,4,5,3,"Apr  9 2017 01:06:59:730PM",trilogy_admin,"Apr  9 2017 01:06:59:730PM",trilogy_admin,4,5
110,2,359,6,2,4,4,"Apr  9 2017 01:41:47:707PM",3,5,5,4,1,"Apr  9 2017 01:41:47:707PM",trilogy_admin,"Apr  9 2017 01:41:47:707PM",trilogy_admin,2,5
111,2,354,7,2,3,5,"Apr  9 2017 02:32:49:550PM",4,18,3,5,3,"Apr  9 2017 02:32:49:550PM",trilogy_admin,"Apr  9 2017 02:32:49:550PM",trilogy_admin,3,5
112,2,75,3,4,5,5,"Apr  9 2017 02:53:22:147PM",5,8,5,5,5,"Apr  9 2017 02:53:22:147PM",trilogy_admin,"Apr  9 2017 02:53:22:147PM",trilogy_admin,5,5
113,2,205,8,2,5,5,"Apr  9 2017 03:06:52:570PM",4,8,5,5,5,"Apr  9 2017 03:06:52:570PM",trilogy_admin,"Apr  9 2017 03:06:52:570PM",trilogy_admin,5,5
114,2,305,11,2,4,5,"Apr  9 2017 04:12:19:200PM",5,17,5,4,3,"Apr  9 2017 04:12:19:200PM",trilogy_admin,"Apr  9 2017 04:12:19:200PM",trilogy_admin,5,5
115,2,87,3,4,5,5,"Apr  9 2017 04:33:03:690PM",5,20,5,5,3,"Apr  9 2017 04:33:03:690PM",trilogy_admin,"Apr  9 2017 04:33:03:690PM",trilogy_admin,5,5
116,2,356,7,2,5,5,"Apr  9 2017 04:34:01:130PM",5,20,5,5,5,"Apr  9 2017 04:34:01:130PM",trilogy_admin,"Apr  9 2017 04:34:01:130PM",trilogy_admin,5,5
117,2,129,2,4,4,4,"Apr  9 2017 04:49:48:930PM",4,20,3,4,2,"Apr  9 2017 04:49:48:930PM",trilogy_admin,"Apr  9 2017 04:49:48:930PM",trilogy_admin,4,4
118,2,124,2,4,4,5,"Apr  9 2017 04:51:15:810PM",5,25,4,5,4,"Apr  9 2017 04:51:15:810PM",trilogy_admin,"Apr  9 2017 04:51:15:810PM",trilogy_admin,5,5
119,2,846,10,2,4,5,"Apr  9 2017 05:11:25:490PM",5,20,4,4,3,"Apr  9 2017 05:11:25:490PM",trilogy_admin,"Apr  9 2017 05:11:25:490PM",trilogy_admin,3,5
120,2,306,11,2,5,5,"Apr  9 2017 06:17:50:240PM",5,22,5,5,5,"Apr  9 2017 06:17:50:240PM",trilogy_admin,"Apr  9 2017 06:17:50:240PM",trilogy_admin,5,5
121,2,1017,7,2,4,5,"Apr  9 2017 06:31:00:703PM",4,15,5,4,3,"Apr  9 2017 06:31:00:703PM",trilogy_admin,"Apr  9 2017 06:31:00:703PM",trilogy_admin,3,5
122,2,346,7,2,5,5,"Apr  9 2017 06:36:42:570PM",5,8,4,5,4,"Apr  9 2017 06:36:42:570PM",trilogy_admin,"Apr  9 2017 06:36:42:570PM",trilogy_admin,4,5
123,2,1028,11,2,4,4,"Apr  9 2017 06:37:50:737PM",5,9,5,4,1,"Apr  9 2017 06:37:50:737PM",trilogy_admin,"Apr  9 2017 06:37:50:737PM",trilogy_admin,4,4
124,2,206,8,2,3,2,"Apr  9 2017 06:51:05:413PM",4,4,3,1,2,"Apr  9 2017 06:51:05:413PM",trilogy_admin,"Apr  9 2017 06:51:05:413PM",trilogy_admin,2,4
125,2,335,13,2,4,5,"Apr  9 2017 07:18:42:900PM",5,25,1,2,3,"Apr  9 2017 07:18:42:900PM",trilogy_admin,"Apr  9 2017 07:18:42:900PM",trilogy_admin,5,5
126,2,1031,11,2,5,5,"Apr  9 2017 07:20:47:810PM",5,15,5,5,5,"Apr  9 2017 07:20:47:810PM",trilogy_admin,"Apr  9 2017 07:20:47:810PM",trilogy_admin,5,5
127,2,289,11,2,4,4,"Apr  9 2017 07:30:40:117PM",3,10,4,4,4,"Apr  9 2017 07:30:40:117PM",trilogy_admin,"Apr  9 2017 07:30:40:117PM",trilogy_admin,3,5
128,2,320,13,2,3,5,"Apr  9 2017 07:49:31:470PM",5,30,3,5,1,"Apr  9 2017 07:49:31:470PM",trilogy_admin,"Apr  9 2017 07:49:31:470PM",trilogy_admin,4,5
129,2,323,13,2,5,5,"Apr  9 2017 08:41:35:993PM",5,28,5,5,5,"Apr  9 2017 08:41:35:993PM",trilogy_admin,"Apr  9 2017 08:41:35:993PM",trilogy_admin,5,5
130,2,1011,6,2,5,4,"Apr  9 2017 08:56:35:760PM",4,5,5,5,3,"Apr  9 2017 08:56:35:760PM",trilogy_admin,"Apr  9 2017 08:56:35:760PM",trilogy_admin,3,5
131,2,357,7,2,5,3,"Apr  9 2017 09:07:21:087PM",4,30,3,4,3,"Apr  9 2017 09:07:21:087PM",trilogy_admin,"Apr  9 2017 09:07:21:087PM",trilogy_admin,3,5
132,2,117,2,4,4,4,"Apr  9 2017 09:36:52:403PM",4,5,4,4,4,"Apr  9 2017 09:36:52:403PM",trilogy_admin,"Apr  9 2017 09:36:52:403PM",trilogy_admin,4,4
